customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00001,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.5,873.33,No
C00002,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),102.28,5218.45,No
C00003,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),81.97,171.21,Yes
C00004,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,108.26,2499.02,No
C00005,Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,50.71,2821.65,No
C00006,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),44.24,3176.04,No
C00007,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,92.62,1588.61,No
C00008,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),49.12,2105.69,No
C00009,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.01,1672.25,Yes
C00010,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),103.64,7443.8,No
C00011,Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,108.27,3584.65,Yes
C00012,Female,0,Yes,Yes,46,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,84.38,3878.93,No
C00013,Female,0,No,No,2,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.51,88.99,Yes
C00014,Female,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,92.87,1848.97,No
C00015,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),47.89,2433.03,No
C00016,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),95.21,780.9,Yes
C00017,Female,0,Yes,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,600.63,No
C00018,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.49,2919.78,No
C00019,Female,1,Yes,No,53,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,81.7,4335.0,No
C00020,Male,0,No,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.88,976.22,No
C00021,Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,92.2,1958.44,No
C00022,Male,0,No,Yes,10,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.79,809.54,Yes
C00023,Male,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),104.53,2923.61,Yes
C00024,Female,0,Yes,No,48,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),77.65,3745.75,No
C00025,Female,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,88.82,1148.62,No
C00026,Female,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,108.64,5768.48,No
C00027,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,111.11,3877.9,No
C00028,Female,1,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.44,609.6,Yes
C00029,Female,1,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.68,249.75,No
C00030,Male,0,No,Yes,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,103.86,828.33,Yes
